Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Keith Taylor,DB,2,5/3/1999,75,195,Washington,4
Ben Stille,DL,2,11/12/1997,76,296,Nebraska,3
John Parker Romo,K,2,8/24/1997,71,190,Virginia Tech; Central Arkansas,1
Jashaun Corbin,RB,2,8/20/2000,71,200,Florida State,2
Elijah Garcia,DL,2,3/11/1998,77,302,Rice,2
Younghoe Koo,K,2,8/3/1994,70,195,Georgia Southern,8
Ray-Ray McCloud,WR,2,10/15/1996,69,185,Clemson,8
Ben Sauls,K,2,7/31/2001,70,185,Pittsburgh,0
Ta'Quon Graham,DL,2,12/1/1998,76,300,Texas,5
Zach Triner,LS,2,1/30/1991,75,245,Assumption,7
Brandon Parker,OL,2,10/21/1995,80,320,North Carolina A&T,8
Raiqwon O'Neal,OL,2,1/12/2000,76,305,UCLA,2
Kyle Trask,QB,2,3/6/1998,77,236,Florida,5
Jamal Agnew,WR,2,4/3/1995,70,190,San Diego,9
K.J. Osborn,WR,2,6/10/1997,71,203,Miami; Buffalo,6
Ar'Darius Washington,DB,3,11/2/1999,68,180,TCU,4
Bilhal Kone,DB,3,3/3/2002,73,190,Western Michigan; Iowa Central CC-Eagle Grove,0
Chidobe Awuzie,DB,3,5/24/1995,72,202,Colorado,9
Desmond Igbinosun,DB,3,,,,,
Keondre Jackson,DB,3,5/2/2002,74,215,Illinois State,0
Keyon Martin,DB,3,5/16/2001,69,170,Louisiana-Lafayette; Youngstown State,0
Kyle Hamilton,DB,3,3/16/2001,76,218,Notre Dame,4
Malaki Starks,DB,3,11/13/2003,73,203,Georgia,0
Marlon Humphrey,DB,3,7/8/1996,72,210,Alabama,9
Marquise Robinson,DB,3,7/16/2002,73,192,Arkansas; South Alabama,0
Nate Wiggins,DB,3,8/28/2003,73,182,Clemson,2
Robert Longerbeam,DB,3,1/18/2001,71,175,Rutgers,0
T.J. Tampa,DB,3,3/13/2002,73,199,Iowa State,2
Thomas Graham Jr.,DB,3,6/26/1999,70,196,Oregon,3
Aeneas Peebles,DL,3,9/3/2001,72,289,Virginia Tech; Duke,0
Basil Okoye,DL,3,10/20/2001,78,370,,1
Brent Urban,DL,3,5/5/1991,79,309,Virginia,12
Broderick Washington,DL,3,12/4/1996,74,314,Texas Tech,6
Carl Lawson,DL,3,6/29/1995,74,265,Auburn,9
John Jenkins,DL,3,7/11/1989,75,360,Georgia; Gulf Coast CC; Mississippi,13
Kaimon Rucker,DL,3,2/28/2002,74,265,North Carolina,0
Michael Pierce,DL,3,11/6/1992,72,355,Samford; Tulane,8
Nnamdi Madubuike,DL,3,11/17/1997,75,305,Texas A&M,6
Travis Jones,DL,3,10/15/1999,76,341,Connecticut,4
Tyler Loop,K,3,8/4/2001,71,191,Arizona,0
Adisa Isaac,LB,3,10/4/2001,76,254,Penn State,2
Chandler Martin,LB,3,12/11/2002,72,230,Memphis; East Tennessee State,0
David Ojabo,LB,3,5/17/2000,76,252,Michigan,4
Jacob Hummel,LB,3,1/4/1999,73,235,Iowa State,4
Jay Higgins,LB,3,2/14/2002,72,230,Iowa,0
Kyle Van Noy,LB,3,3/26/1991,75,255,BYU,12
Malik Hamm,LB,3,8/26/2000,75,254,Lafayette College,3
Mike Green,LB,3,7/28/2003,75,250,Marshall; Virginia,0
Roquan Smith,LB,3,4/8/1997,73,235,Georgia,8
Tavius Robinson,LB,3,1/3/1999,78,262,Mississippi,3
Teddye Buchanan,LB,3,10/3/2002,74,240,California,0
Trenton Simpson,LB,3,6/14/2001,74,235,Clemson,3
William Kwenkeu,LB,3,1/8/1997,73,235,Temple,3
Nick Moore,LS,3,12/9/1992,74,260,Georgia,4
Andrew Vorhees,OL,3,1/21/1999,78,320,USC,2
Carson Vinson,OL,3,11/13/2001,79,321,Alabama A&M,0
Corey Bullock,OL,3,12/9/2001,75,320,Maryland; North Carolina Central,1
Daniel Faalele,OL,3,11/9/1999,80,370,Minnesota,4
Emery Jones Jr.,OL,3,3/5/2004,77,315,LSU,0
Gerad Lichtenhan,OL,3,12/3/2001,80,330,Oregon State,0
Jared Penning,OL,3,9/17/2000,77,319,Northern Iowa,0
Joe Noteboom,OL,3,6/19/1995,77,321,TCU,8
Roger Rosengarten,OL,3,6/3/2002,77,316,Washington,2
Ronnie Stanley,OL,3,3/18/1994,78,310,Notre Dame,10
Tyler Linderbaum,OL,3,4/7/2000,74,305,Iowa,4
Jordan Stout,P,3,8/4/1998,75,209,Penn State,4
Cooper Rush,QB,3,11/21/1993,75,225,Central Michigan; Tarrant County JC,8
Devin Leary,QB,3,9/10/1999,73,215,Kentucky; N.C. State,0
Lamar Jackson,QB,3,1/7/1997,74,205,Louisville,8
Tyler Huntley,QB,3,2/3/1998,73,204,Utah,6
Derrick Henry,RB,3,1/4/1994,75,252,Alabama,10
Justice Hill,RB,3,11/14/1997,70,205,Oklahoma State,7
Keaton Mitchell,RB,3,1/17/2002,68,191,East Carolina,3
Lucas Scott,RB,3,8/25/2003,75,290,Army,0
Patrick Ricard,RB,3,5/27/1994,75,300,Maine,9
Rasheen Ali,RB,3,2/16/2001,71,210,Marshall,2
Baylor Cupp,TE,3,5/10/2000,78,243,Texas Tech; Texas A&M,0
Charlie Kolar,TE,3,2/10/1999,78,265,Iowa State,4
Isaiah Likely,TE,3,4/18/2000,76,245,Coastal Carolina,4
Mark Andrews,TE,3,9/6/1995,77,250,Oklahoma,8
Scotty Washington,TE,3,7/26/1996,77,242,Wake Forest,1
Anthony Miller,WR,3,10/9/1994,71,195,Memphis,6
Dayton Wade,WR,3,9/8/2000,69,184,Mississippi; Western Kentucky,1
DeAndre Hopkins,WR,3,6/6/1992,73,210,Clemson,13
Devontez Walker,WR,3,6/19/2001,73,198,North Carolina; Kent State; North Carolina Central,2
Jahmal Banks,WR,3,,,,,
Keith Kirkwood,WR,3,12/26/1994,75,210,Temple,5
LaJohntay Wester,WR,3,3/29/2002,69,170,Colorado; Florida Atlantic,0
Rashod Bateman,WR,3,11/29/1999,73,193,Minnesota,5
Tylan Wallace,WR,3,5/13/1999,71,200,Oklahoma State,5
Xavier Guillory,WR,3,,,,,
Zay Flowers,WR,3,9/11/2000,69,183,Boston College,3
MJ Devonshire,DB,3,9/12/2000,71,186,Pittsburgh; Kentucky,1
Nick Samac,OL,3,8/21/2001,76,314,Michigan State,2
Carl Jones,LB,3,8/8/2001,72,223,UCLA,1
C.J. Gardner-Johnson,DB,3,12/20/1997,71,208,Florida,7
Taven Bryan,DL,3,3/11/1996,76,291,Florida,8
Sam Mustipher,OL,3,8/13/1996,74,332,Notre Dame,6
J.T. Gray,DB,3,1/18/1996,72,202,Mississippi State,8
Malik Cunningham,WR,3,10/6/1998,73,190,Louisville,2
Cornelius Johnson,WR,3,11/29/2000,75,212,Michigan,1
Laken Tomlinson,OL,3,2/9/1992,75,323,Duke,11
Reuben Lowery,DB,3,7/30/2002,69,204,Tennessee-Chattanooga,0
Josh Tupou,DL,3,5/2/1994,75,340,Colorado,7
Alohi Gilman,DB,3,9/17/1997,70,201,Notre Dame,6
Odafe Oweh,LB,3,12/15/1998,77,265,Penn State,5
Ben Cleveland,OL,3,8/25/1998,78,355,Georgia,5
David Olajiga,DL,3,11/3/1997,75,310,Central Missouri; Butler County JC,1
Jonathan Ward,RB,3,9/30/1997,72,202,Central Michigan,6
Zaire Mitchell-Paden,TE,3,8/20/1999,77,257,Florida Atlantic,1
Jaire Alexander,DB,3,2/9/1997,70,196,Louisville,8
Kenyon Green,OL,3,3/15/2001,76,325,Texas A&M,4
Myles Gaskin,RB,3,2/15/1997,70,199,Washington,7
Colton Dowell,WR,3,4/19/1999,75,212,Tennessee-Martin,2
Amani Oruwariye,DB,3,2/9/1996,74,200,Penn State,6
Sanoussi Kane,DB,3,10/6/2001,71,210,Purdue,2
Dre'Mont Jones,LB,3,1/5/1997,75,281,Ohio State,7
Brandon Codrington,DB,4,11/17/2000,69,185,North Carolina Central,2
Cam Lewis,DB,4,4/13/1997,69,183,Buffalo,6
Christian Benford,DB,4,9/21/2000,73,205,Villanova,4
Cole Bishop,DB,4,10/24/2002,74,207,Utah,2
Damar Hamlin,DB,4,3/24/1998,72,200,Pittsburgh,5
Dane Jackson,DB,4,11/29/1996,71,180,Pittsburgh,6
Dorian Strong,DB,4,3/14/2002,72,185,Virginia Tech,0
Garnett Hollis Jr.,DB,4,,,,,
Jordan Hancock,DB,4,8/12/2003,73,195,Ohio State,0
Jordan Poyer,DB,4,4/25/1991,72,191,Oregon State,13
Maxwell Hairston,DB,4,8/6/2003,71,192,Kentucky,0
Sam Franklin Jr.,DB,4,2/2/1996,75,210,Temple,6
Taron Johnson,DB,4,7/27/1996,71,192,Weber State,8
Taylor Rapp,DB,4,12/22/1997,72,208,Washington,7
Te'Cory Couch,DB,4,9/6/1999,70,185,Miami,1
Tre Herndon,DB,4,3/5/1996,71,190,Vanderbilt,7
